run set,number of matches,winning result,game master balance,player balance
6:2:6,0,-1,100001,99999
5:5:2,0,-1,100002,99998
3:6:6,0,-1,100003,99997
2:1:1,0,-1,100004,99996
2:4:3,1,1,100003,99997
6:4:1,1,1,100002,99998
2:6:4,1,1,100001,99999
3:5:1,0,-1,100002,99998
4:6:4,2,2,100000,100000
5:3:1,0,-1,100001,99999
2:6:6,0,-1,100002,99998
4:6:4,2,2,100000,100000
4:4:1,2,2,99998,100002
6:2:1,0,-1,99999,100001
2:2:6,0,-1,100000,100000
6:5:3,0,-1,100001,99999
6:1:4,1,1,100000,100000
1:3:6,0,-1,100001,99999
3:4:5,1,1,100000,100000
3:6:6,0,-1,100001,99999
2:3:4,1,1,100000,100000
3:5:2,0,-1,100001,99999
5:6:5,0,-1,100002,99998
4:1:1,1,1,100001,99999
6:6:6,0,-1,100002,99998
4:3:4,2,2,100000,100000
3:1:4,1,1,99999,100001
4:1:5,1,1,99998,100002
3:5:3,0,-1,99999,100001
4:5:2,1,1,99998,100002
4:3:2,1,1,99997,100003
4:5:4,2,2,99995,100005
6:4:1,1,1,99994,100006
3:3:3,0,-1,99995,100005
5:2:2,0,-1,99996,100004
3:6:6,0,-1,99997,100003
3:5:1,0,-1,99998,100002
6:6:3,0,-1,99999,100001
5:6:6,0,-1,100000,100000
1:6:1,0,-1,100001,99999
5:6:4,1,1,100000,100000
6:1:5,0,-1,100001,99999
3:2:1,0,-1,100002,99998
6:3:2,0,-1,100003,99997
2:4:6,1,1,100002,99998
4:4:5,2,2,100000,100000
1:2:4,1,1,99999,100001
6:2:5,0,-1,100000,100000
1:4:6,1,1,99999,100001
6:1:5,0,-1,100000,100000
3:4:4,2,2,99998,100002
2:2:5,0,-1,99999,100001
4:5:3,1,1,99998,100002
4:5:3,1,1,99997,100003
5:6:5,0,-1,99998,100002
3:3:1,0,-1,99999,100001
5:3:5,0,-1,100000,100000
4:6:5,1,1,99999,100001
2:3:3,0,-1,100000,100000
2:3:3,0,-1,100001,99999
5:6:5,0,-1,100002,99998
2:6:5,0,-1,100003,99997
5:1:6,0,-1,100004,99996
3:6:2,0,-1,100005,99995
4:3:6,1,1,100004,99996
1:4:4,2,2,100002,99998
5:5:1,0,-1,100003,99997
4:3:6,1,1,100002,99998
3:6:5,0,-1,100003,99997
4:4:4,3,3,100000,100000
4:1:3,1,1,99999,100001
3:6:1,0,-1,100000,100000
6:6:1,0,-1,100001,99999
5:5:3,0,-1,100002,99998
1:5:3,0,-1,100003,99997
5:6:3,0,-1,100004,99996
4:6:4,2,2,100002,99998
4:1:1,1,1,100001,99999
5:1:2,0,-1,100002,99998
2:3:4,1,1,100001,99999
4:4:1,2,2,99999,100001
3:1:2,0,-1,100000,100000
3:3:4,1,1,99999,100001
2:4:3,1,1,99998,100002
5:3:4,1,1,99997,100003
1:5:6,0,-1,99998,100002
5:5:4,1,1,99997,100003
1:2:6,0,-1,99998,100002
6:1:2,0,-1,99999,100001
2:3:2,0,-1,100000,100000
4:1:1,1,1,99999,100001
6:6:2,0,-1,100000,100000
3:3:4,1,1,99999,100001
6:3:5,0,-1,100000,100000
