run set,number of matches,winning result,game master balance,player balance
3:1:2,1,1,99999,100001
6:1:5,0,-1,100000,100000
1:5:6,0,-1,100001,99999
4:3:3,0,-1,100002,99998
4:1:5,0,-1,100003,99997
4:4:3,0,-1,100004,99996
4:4:4,0,-1,100005,99995
1:6:1,0,-1,100006,99994
3:5:5,0,-1,100007,99993
2:4:6,1,1,100006,99994
5:4:1,0,-1,100007,99993
6:2:5,1,1,100006,99994
3:4:2,1,1,100005,99995
1:6:4,0,-1,100006,99994
4:5:4,0,-1,100007,99993
4:5:3,0,-1,100008,99992
1:1:4,0,-1,100009,99991
4:4:4,0,-1,100010,99990
5:1:2,1,1,100009,99991
5:1:4,0,-1,100010,99990
6:6:1,0,-1,100011,99989
6:3:5,0,-1,100012,99988
6:1:2,1,1,100011,99989
5:1:6,0,-1,100012,99988
4:3:3,0,-1,100013,99987
4:4:5,0,-1,100014,99986
6:2:2,2,2,100012,99988
3:2:6,1,1,100011,99989
5:5:5,0,-1,100012,99988
5:5:1,0,-1,100013,99987
2:5:4,1,1,100012,99988
5:6:1,0,-1,100013,99987
5:5:3,0,-1,100014,99986
5:5:3,0,-1,100015,99985
5:4:1,0,-1,100016,99984
2:5:1,1,1,100015,99985
1:4:3,0,-1,100016,99984
3:3:3,0,-1,100017,99983
5:5:3,0,-1,100018,99982
1:1:1,0,-1,100019,99981
5:2:1,1,1,100018,99982
4:5:6,0,-1,100019,99981
6:1:6,0,-1,100020,99980
6:3:6,0,-1,100021,99979
5:2:3,1,1,100020,99980
4:4:2,1,1,100019,99981
5:4:5,0,-1,100020,99980
4:1:6,0,-1,100021,99979
3:6:6,0,-1,100022,99978
1:2:4,1,1,100021,99979
6:5:2,1,1,100020,99980
4:3:4,0,-1,100021,99979
4:5:1,0,-1,100022,99978
4:3:1,0,-1,100023,99977
5:4:1,0,-1,100024,99976
4:3:1,0,-1,100025,99975
6:5:6,0,-1,100026,99974
4:5:5,0,-1,100027,99973
3:4:1,0,-1,100028,99972
4:5:2,1,1,100027,99973
5:6:5,0,-1,100028,99972
1:6:3,0,-1,100029,99971
5:6:5,0,-1,100030,99970
2:3:2,2,2,100028,99972
3:2:1,1,1,100027,99973
1:2:3,1,1,100026,99974
6:3:5,0,-1,100027,99973
1:6:2,1,1,100026,99974
3:1:1,0,-1,100027,99973
2:1:3,1,1,100026,99974
4:3:3,0,-1,100027,99973
3:1:2,1,1,100026,99974
5:1:4,0,-1,100027,99973
4:2:5,1,1,100026,99974
2:3:1,1,1,100025,99975
2:5:6,1,1,100024,99976
1:4:2,1,1,100023,99977
6:2:3,1,1,100022,99978
3:6:4,0,-1,100023,99977
3:2:6,1,1,100022,99978
5:6:6,0,-1,100023,99977
2:4:4,1,1,100022,99978
2:6:5,1,1,100021,99979
2:4:3,1,1,100020,99980
1:1:3,0,-1,100021,99979
1:4:3,0,-1,100022,99978
1:5:4,0,-1,100023,99977
6:6:1,0,-1,100024,99976
5:4:5,0,-1,100025,99975
6:1:1,0,-1,100026,99974
4:3:5,0,-1,100027,99973
2:5:2,2,2,100025,99975
3:1:3,0,-1,100026,99974
5:6:2,1,1,100025,99975
2:2:3,2,2,100023,99977
5:5:3,0,-1,100024,99976
4:1:5,0,-1,100025,99975
1:4:6,0,-1,100026,99974
4:2:3,1,1,100025,99975
2:1:3,1,1,100024,99976
6:1:6,0,-1,100025,99975
3:2:5,1,1,100024,99976
1:5:2,1,1,100023,99977
6:5:3,0,-1,100024,99976
1:4:4,0,-1,100025,99975
2:6:3,1,1,100024,99976
4:1:1,0,-1,100025,99975
3:5:3,0,-1,100026,99974
5:1:1,0,-1,100027,99973
6:1:6,0,-1,100028,99972
6:3:1,0,-1,100029,99971
4:3:3,0,-1,100030,99970
1:1:3,0,-1,100031,99969
6:4:2,1,1,100030,99970
2:5:4,1,1,100029,99971
4:5:2,1,1,100028,99972
6:4:4,0,-1,100029,99971
4:3:2,1,1,100028,99972
1:5:4,0,-1,100029,99971
5:2:3,1,1,100028,99972
4:4:4,0,-1,100029,99971
1:1:4,0,-1,100030,99970
6:1:2,1,1,100029,99971
6:6:6,0,-1,100030,99970
6:3:1,0,-1,100031,99969
2:6:5,1,1,100030,99970
5:5:6,0,-1,100031,99969
5:5:5,0,-1,100032,99968
2:4:4,1,1,100031,99969
4:6:1,0,-1,100032,99968
1:4:6,0,-1,100033,99967
5:1:1,0,-1,100034,99966
5:3:3,0,-1,100035,99965
3:5:1,0,-1,100036,99964
5:4:1,0,-1,100037,99963
5:5:5,0,-1,100038,99962
2:5:6,1,1,100037,99963
6:4:3,0,-1,100038,99962
3:4:1,0,-1,100039,99961
5:3:1,0,-1,100040,99960
1:5:6,0,-1,100041,99959
6:5:1,0,-1,100042,99958
6:6:6,0,-1,100043,99957
6:3:1,0,-1,100044,99956
3:5:1,0,-1,100045,99955
5:6:1,0,-1,100046,99954
5:5:4,0,-1,100047,99953
4:4:6,0,-1,100048,99952
2:1:5,1,1,100047,99953
2:1:5,1,1,100046,99954
4:6:1,0,-1,100047,99953
4:5:4,0,-1,100048,99952
3:1:2,1,1,100047,99953
6:2:4,1,1,100046,99954
3:3:1,0,-1,100047,99953
2:3:5,1,1,100046,99954
5:4:2,1,1,100045,99955
2:2:5,2,2,100043,99957
6:3:1,0,-1,100044,99956
6:5:1,0,-1,100045,99955
5:2:1,1,1,100044,99956
3:6:4,0,-1,100045,99955
4:2:6,1,1,100044,99956
4:2:2,2,2,100042,99958
5:2:6,1,1,100041,99959
3:5:2,1,1,100040,99960
4:5:1,0,-1,100041,99959
4:3:4,0,-1,100042,99958
4:6:3,0,-1,100043,99957
5:6:2,1,1,100042,99958
3:6:4,0,-1,100043,99957
2:5:4,1,1,100042,99958
2:6:4,1,1,100041,99959
1:1:4,0,-1,100042,99958
1:3:5,0,-1,100043,99957
2:1:4,1,1,100042,99958
3:1:2,1,1,100041,99959
4:6:6,0,-1,100042,99958
2:6:4,1,1,100041,99959
6:6:5,0,-1,100042,99958
2:3:5,1,1,100041,99959
6:2:3,1,1,100040,99960
4:6:2,1,1,100039,99961
6:5:5,0,-1,100040,99960
1:4:1,0,-1,100041,99959
3:4:1,0,-1,100042,99958
5:2:3,1,1,100041,99959
1:6:1,0,-1,100042,99958
1:1:2,1,1,100041,99959
6:5:6,0,-1,100042,99958
1:1:5,0,-1,100043,99957
5:1:4,0,-1,100044,99956
2:3:5,1,1,100043,99957
6:3:2,1,1,100042,99958
1:4:1,0,-1,100043,99957
4:3:3,0,-1,100044,99956
1:2:3,1,1,100043,99957
5:3:5,0,-1,100044,99956
5:3:1,0,-1,100045,99955
1:3:4,0,-1,100046,99954
4:5:2,1,1,100045,99955
1:1:5,0,-1,100046,99954
5:6:1,0,-1,100047,99953
6:3:5,0,-1,100048,99952
3:5:1,0,-1,100049,99951
2:3:5,1,1,100048,99952
5:2:1,1,1,100047,99953
1:6:6,0,-1,100048,99952
6:1:4,0,-1,100049,99951
2:4:6,1,1,100048,99952
5:2:6,1,1,100047,99953
2:5:6,1,1,100046,99954
1:2:4,1,1,100045,99955
5:5:5,0,-1,100046,99954
6:1:5,0,-1,100047,99953
4:5:3,0,-1,100048,99952
4:3:4,0,-1,100049,99951
2:1:6,1,1,100048,99952
4:3:2,1,1,100047,99953
3:5:5,0,-1,100048,99952
4:5:5,0,-1,100049,99951
5:5:6,0,-1,100050,99950
2:2:2,3,3,100047,99953
1:4:4,0,-1,100048,99952
3:1:4,0,-1,100049,99951
1:1:4,0,-1,100050,99950
4:6:2,1,1,100049,99951
6:3:1,0,-1,100050,99950
1:5:4,0,-1,100051,99949
3:4:1,0,-1,100052,99948
4:6:1,0,-1,100053,99947
5:5:6,0,-1,100054,99946
6:4:4,0,-1,100055,99945
6:5:4,0,-1,100056,99944
2:6:3,1,1,100055,99945
2:4:3,1,1,100054,99946
6:1:6,0,-1,100055,99945
1:1:1,0,-1,100056,99944
1:4:6,0,-1,100057,99943
2:2:5,2,2,100055,99945
2:1:2,2,2,100053,99947
5:3:3,0,-1,100054,99946
6:2:3,1,1,100053,99947
5:1:5,0,-1,100054,99946
2:6:2,2,2,100052,99948
4:5:4,0,-1,100053,99947
2:4:6,1,1,100052,99948
1:1:5,0,-1,100053,99947
6:1:3,0,-1,100054,99946
6:6:3,0,-1,100055,99945
6:1:1,0,-1,100056,99944
3:6:6,0,-1,100057,99943
3:5:3,0,-1,100058,99942
4:5:4,0,-1,100059,99941
3:5:1,0,-1,100060,99940
4:5:3,0,-1,100061,99939
1:2:1,1,1,100060,99940
4:4:1,0,-1,100061,99939
2:6:4,1,1,100060,99940
1:4:2,1,1,100059,99941
2:1:6,1,1,100058,99942
6:6:5,0,-1,100059,99941
4:5:2,1,1,100058,99942
6:4:1,0,-1,100059,99941
6:4:2,1,1,100058,99942
3:3:6,0,-1,100059,99941
4:5:3,0,-1,100060,99940
4:2:2,2,2,100058,99942
4:2:2,2,2,100056,99944
1:3:2,1,1,100055,99945
3:6:3,0,-1,100056,99944
3:5:2,1,1,100055,99945
4:4:2,1,1,100054,99946
1:4:1,0,-1,100055,99945
6:3:5,0,-1,100056,99944
1:5:3,0,-1,100057,99943
3:3:1,0,-1,100058,99942
4:5:2,1,1,100057,99943
1:3:3,0,-1,100058,99942
3:3:6,0,-1,100059,99941
2:5:1,1,1,100058,99942
5:3:4,0,-1,100059,99941
5:4:1,0,-1,100060,99940
6:6:1,0,-1,100061,99939
6:4:3,0,-1,100062,99938
3:2:4,1,1,100061,99939
5:6:1,0,-1,100062,99938
1:4:1,0,-1,100063,99937
2:3:2,2,2,100061,99939
2:2:3,2,2,100059,99941
6:6:5,0,-1,100060,99940
6:2:1,1,1,100059,99941
6:1:5,0,-1,100060,99940
2:3:6,1,1,100059,99941
2:1:1,1,1,100058,99942
4:5:4,0,-1,100059,99941
5:4:5,0,-1,100060,99940
4:3:6,0,-1,100061,99939
2:5:4,1,1,100060,99940
4:6:3,0,-1,100061,99939
6:5:5,0,-1,100062,99938
3:1:2,1,1,100061,99939
3:5:5,0,-1,100062,99938
3:3:1,0,-1,100063,99937
