run set,number of matches,winning result,game master balance,player balance
6:1:1,0,-1,100001,99999
5:3:2,1,1,100000,100000
3:1:6,0,-1,100001,99999
1:2:5,1,1,100000,100000
3:5:2,1,1,99999,100001
6:1:6,0,-1,100000,100000
5:5:6,2,2,99998,100002
5:2:3,1,1,99997,100003
1:1:4,0,-1,99998,100002
4:3:3,0,-1,99999,100001
6:4:2,0,-1,100000,100000
4:5:6,1,1,99999,100001
5:6:4,1,1,99998,100002
1:5:4,1,1,99997,100003
3:2:6,0,-1,99998,100002
5:3:3,1,1,99997,100003
1:3:5,1,1,99996,100004
1:2:1,0,-1,99997,100003
5:1:6,1,1,99996,100004
2:5:4,1,1,99995,100005
4:3:4,0,-1,99996,100004
2:6:2,0,-1,99997,100003
5:3:4,1,1,99996,100004
6:1:4,0,-1,99997,100003
1:6:5,1,1,99996,100004
2:1:5,1,1,99995,100005
1:1:6,0,-1,99996,100004
2:5:4,1,1,99995,100005
1:1:2,0,-1,99996,100004
4:1:6,0,-1,99997,100003
6:2:2,0,-1,99998,100002
5:4:2,1,1,99997,100003
5:6:3,1,1,99996,100004
1:2:5,1,1,99995,100005
4:5:4,1,1,99994,100006
2:5:3,1,1,99993,100007
3:3:2,0,-1,99994,100006
6:5:1,1,1,99993,100007
2:2:6,0,-1,99994,100006
1:2:4,0,-1,99995,100005
5:3:5,2,2,99993,100007
1:2:5,1,1,99992,100008
5:1:4,1,1,99991,100009
6:2:1,0,-1,99992,100008
5:5:4,2,2,99990,100010
3:6:3,0,-1,99991,100009
6:4:1,0,-1,99992,100008
5:6:3,1,1,99991,100009
2:4:5,1,1,99990,100010
4:1:5,1,1,99989,100011
6:6:5,1,1,99988,100012
4:6:2,0,-1,99989,100011
5:4:3,1,1,99988,100012
1:4:6,0,-1,99989,100011
3:1:6,0,-1,99990,100010
4:4:2,0,-1,99991,100009
6:3:2,0,-1,99992,100008
4:6:2,0,-1,99993,100007
3:6:2,0,-1,99994,100006
3:3:2,0,-1,99995,100005
3:2:4,0,-1,99996,100004
4:1:4,0,-1,99997,100003
1:6:4,0,-1,99998,100002
1:3:6,0,-1,99999,100001
1:4:6,0,-1,100000,100000
1:6:1,0,-1,100001,99999
4:6:5,1,1,100000,100000
5:5:5,3,3,99997,100003
3:6:1,0,-1,99998,100002
2:5:4,1,1,99997,100003
6:1:6,0,-1,99998,100002
