run set,number of matches,winning result,game master balance,player balance
1:3:5,0,-1,100001,99999
5:6:4,1,1,100000,100000
1:6:3,1,1,99999,100001
6:6:4,2,2,99997,100003
4:4:4,0,-1,99998,100002
4:6:5,1,1,99997,100003
1:6:1,1,1,99996,100004
4:4:2,0,-1,99997,100003
4:3:4,0,-1,99998,100002
6:1:5,1,1,99997,100003
6:2:5,1,1,99996,100004
3:6:3,1,1,99995,100005
2:1:6,1,1,99994,100006
6:3:3,1,1,99993,100007
3:5:5,0,-1,99994,100006
3:2:5,0,-1,99995,100005
6:1:3,1,1,99994,100006
1:2:4,0,-1,99995,100005
6:6:1,2,2,99993,100007
2:2:5,0,-1,99994,100006
5:5:6,1,1,99993,100007
4:3:3,0,-1,99994,100006
6:2:3,1,1,99993,100007
2:5:6,1,1,99992,100008
6:2:4,1,1,99991,100009
1:6:1,1,1,99990,100010
2:5:1,0,-1,99991,100009
1:3:4,0,-1,99992,100008
5:3:4,0,-1,99993,100007
6:1:6,2,2,99991,100009
2:2:1,0,-1,99992,100008
1:5:1,0,-1,99993,100007
2:5:3,0,-1,99994,100006
6:5:6,2,2,99992,100008
5:2:2,0,-1,99993,100007
4:2:1,0,-1,99994,100006
6:1:5,1,1,99993,100007
6:2:4,1,1,99992,100008
1:3:3,0,-1,99993,100007
1:2:4,0,-1,99994,100006
2:2:5,0,-1,99995,100005
2:4:5,0,-1,99996,100004
3:3:6,1,1,99995,100005
5:3:3,0,-1,99996,100004
5:5:2,0,-1,99997,100003
6:5:5,1,1,99996,100004
3:3:5,0,-1,99997,100003
1:1:3,0,-1,99998,100002
5:4:1,0,-1,99999,100001
3:2:2,0,-1,100000,100000
4:6:4,1,1,99999,100001
6:4:5,1,1,99998,100002
3:1:4,0,-1,99999,100001
4:5:4,0,-1,100000,100000
2:1:1,0,-1,100001,99999
2:5:1,0,-1,100002,99998
1:5:3,0,-1,100003,99997
1:5:4,0,-1,100004,99996
1:1:6,1,1,100003,99997
1:4:4,0,-1,100004,99996
6:3:1,1,1,100003,99997
3:2:6,1,1,100002,99998
4:3:2,0,-1,100003,99997
1:4:4,0,-1,100004,99996
1:4:5,0,-1,100005,99995
2:3:6,1,1,100004,99996
1:2:5,0,-1,100005,99995
2:6:2,1,1,100004,99996
3:1:2,0,-1,100005,99995
6:6:1,2,2,100003,99997
2:5:3,0,-1,100004,99996
1:4:4,0,-1,100005,99995
1:4:2,0,-1,100006,99994
6:3:2,1,1,100005,99995
2:5:3,0,-1,100006,99994
3:5:4,0,-1,100007,99993
3:3:5,0,-1,100008,99992
2:3:5,0,-1,100009,99991
5:4:6,1,1,100008,99992
3:2:6,1,1,100007,99993
1:1:5,0,-1,100008,99992
1:6:1,1,1,100007,99993
5:3:6,1,1,100006,99994
2:1:4,0,-1,100007,99993
4:1:2,0,-1,100008,99992
1:5:1,0,-1,100009,99991
6:6:3,2,2,100007,99993
1:6:2,1,1,100006,99994
2:6:5,1,1,100005,99995
6:3:2,1,1,100004,99996
5:4:4,0,-1,100005,99995
4:2:1,0,-1,100006,99994
4:6:5,1,1,100005,99995
5:3:4,0,-1,100006,99994
4:3:4,0,-1,100007,99993
3:6:3,1,1,100006,99994
2:1:2,0,-1,100007,99993
3:5:4,0,-1,100008,99992
2:3:3,0,-1,100009,99991
4:6:2,1,1,100008,99992
4:3:4,0,-1,100009,99991
4:1:5,0,-1,100010,99990
2:1:3,0,-1,100011,99989
5:1:5,0,-1,100012,99988
1:1:1,0,-1,100013,99987
2:6:3,1,1,100012,99988
5:6:6,2,2,100010,99990
3:5:3,0,-1,100011,99989
2:1:6,1,1,100010,99990
6:4:6,2,2,100008,99992
2:3:3,0,-1,100009,99991
1:5:1,0,-1,100010,99990
2:3:5,0,-1,100011,99989
2:5:3,0,-1,100012,99988
2:4:4,0,-1,100013,99987
6:1:5,1,1,100012,99988
4:4:5,0,-1,100013,99987
1:6:6,2,2,100011,99989
4:6:5,1,1,100010,99990
5:1:2,0,-1,100011,99989
1:6:4,1,1,100010,99990
5:6:1,1,1,100009,99991
1:2:3,0,-1,100010,99990
4:5:4,0,-1,100011,99989
3:2:1,0,-1,100012,99988
2:3:5,0,-1,100013,99987
5:6:5,1,1,100012,99988
3:4:2,0,-1,100013,99987
5:5:1,0,-1,100014,99986
5:5:1,0,-1,100015,99985
3:1:6,1,1,100014,99986
2:5:1,0,-1,100015,99985
3:3:6,1,1,100014,99986
5:1:6,1,1,100013,99987
1:3:3,0,-1,100014,99986
6:3:6,2,2,100012,99988
3:2:3,0,-1,100013,99987
2:6:6,2,2,100011,99989
2:4:1,0,-1,100012,99988
2:3:5,0,-1,100013,99987
4:3:6,1,1,100012,99988
6:4:2,1,1,100011,99989
6:1:3,1,1,100010,99990
4:3:2,0,-1,100011,99989
5:1:6,1,1,100010,99990
1:3:2,0,-1,100011,99989
4:6:6,2,2,100009,99991
5:5:4,0,-1,100010,99990
5:5:5,0,-1,100011,99989
5:1:4,0,-1,100012,99988
1:6:1,1,1,100011,99989
5:2:4,0,-1,100012,99988
5:1:1,0,-1,100013,99987
5:2:5,0,-1,100014,99986
3:5:2,0,-1,100015,99985
3:1:1,0,-1,100016,99984
5:4:5,0,-1,100017,99983
6:6:4,2,2,100015,99985
5:1:2,0,-1,100016,99984
6:2:3,1,1,100015,99985
6:5:6,2,2,100013,99987
2:4:1,0,-1,100014,99986
4:4:4,0,-1,100015,99985
5:4:1,0,-1,100016,99984
3:3:5,0,-1,100017,99983
3:2:4,0,-1,100018,99982
4:2:5,0,-1,100019,99981
4:1:6,1,1,100018,99982
6:1:2,1,1,100017,99983
2:2:5,0,-1,100018,99982
2:3:4,0,-1,100019,99981
1:2:6,1,1,100018,99982
5:5:5,0,-1,100019,99981
5:3:6,1,1,100018,99982
5:5:1,0,-1,100019,99981
6:2:2,1,1,100018,99982
4:5:3,0,-1,100019,99981
2:1:4,0,-1,100020,99980
4:1:4,0,-1,100021,99979
4:4:6,1,1,100020,99980
6:5:3,1,1,100019,99981
4:2:4,0,-1,100020,99980
6:2:1,1,1,100019,99981
6:2:3,1,1,100018,99982
4:3:1,0,-1,100019,99981
3:1:3,0,-1,100020,99980
6:5:3,1,1,100019,99981
5:2:3,0,-1,100020,99980
5:2:3,0,-1,100021,99979
2:5:1,0,-1,100022,99978
2:2:2,0,-1,100023,99977
2:2:6,1,1,100022,99978
5:5:1,0,-1,100023,99977
2:6:1,1,1,100022,99978
4:5:4,0,-1,100023,99977
3:4:5,0,-1,100024,99976
4:6:2,1,1,100023,99977
1:5:6,1,1,100022,99978
5:3:6,1,1,100021,99979
1:5:6,1,1,100020,99980
2:1:2,0,-1,100021,99979
2:1:1,0,-1,100022,99978
5:6:1,1,1,100021,99979
1:4:3,0,-1,100022,99978
1:6:5,1,1,100021,99979
6:4:2,1,1,100020,99980
4:5:2,0,-1,100021,99979
4:3:6,1,1,100020,99980
4:4:4,0,-1,100021,99979
6:2:4,1,1,100020,99980
6:4:1,1,1,100019,99981
4:6:2,1,1,100018,99982
5:4:2,0,-1,100019,99981
6:4:1,1,1,100018,99982
4:6:2,1,1,100017,99983
4:2:5,0,-1,100018,99982
4:2:3,0,-1,100019,99981
2:4:2,0,-1,100020,99980
4:3:2,0,-1,100021,99979
3:3:3,0,-1,100022,99978
6:1:1,1,1,100021,99979
6:2:5,1,1,100020,99980
1:2:3,0,-1,100021,99979
1:2:1,0,-1,100022,99978
4:2:4,0,-1,100023,99977
1:5:6,1,1,100022,99978
1:5:6,1,1,100021,99979
5:5:5,0,-1,100022,99978
6:5:4,1,1,100021,99979
5:5:5,0,-1,100022,99978
1:3:2,0,-1,100023,99977
5:4:6,1,1,100022,99978
6:4:3,1,1,100021,99979
1:2:4,0,-1,100022,99978
1:3:6,1,1,100021,99979
4:4:3,0,-1,100022,99978
1:6:2,1,1,100021,99979
5:1:6,1,1,100020,99980
3:3:6,1,1,100019,99981
1:6:3,1,1,100018,99982
3:6:4,1,1,100017,99983
2:6:3,1,1,100016,99984
5:4:3,0,-1,100017,99983
4:4:2,0,-1,100018,99982
6:6:3,2,2,100016,99984
1:1:3,0,-1,100017,99983
5:2:1,0,-1,100018,99982
4:4:2,0,-1,100019,99981
5:6:1,1,1,100018,99982
5:1:6,1,1,100017,99983
6:4:3,1,1,100016,99984
6:4:3,1,1,100015,99985
6:4:6,2,2,100013,99987
4:1:4,0,-1,100014,99986
1:6:2,1,1,100013,99987
6:2:4,1,1,100012,99988
6:4:3,1,1,100011,99989
2:4:5,0,-1,100012,99988
1:5:3,0,-1,100013,99987
5:3:4,0,-1,100014,99986
3:2:2,0,-1,100015,99985
3:5:2,0,-1,100016,99984
1:2:3,0,-1,100017,99983
5:4:2,0,-1,100018,99982
3:2:6,1,1,100017,99983
2:6:5,1,1,100016,99984
1:3:3,0,-1,100017,99983
5:1:4,0,-1,100018,99982
5:6:2,1,1,100017,99983
1:2:6,1,1,100016,99984
2:2:4,0,-1,100017,99983
4:2:3,0,-1,100018,99982
3:6:2,1,1,100017,99983
5:6:2,1,1,100016,99984
4:2:4,0,-1,100017,99983
4:1:5,0,-1,100018,99982
5:4:3,0,-1,100019,99981
4:1:1,0,-1,100020,99980
6:6:6,3,3,100017,99983
3:4:6,1,1,100016,99984
1:4:1,0,-1,100017,99983
3:2:5,0,-1,100018,99982
3:3:5,0,-1,100019,99981
2:4:1,0,-1,100020,99980
4:3:2,0,-1,100021,99979
2:5:1,0,-1,100022,99978
2:5:5,0,-1,100023,99977
5:1:2,0,-1,100024,99976
1:4:1,0,-1,100025,99975
6:4:3,1,1,100024,99976
3:5:2,0,-1,100025,99975
3:1:3,0,-1,100026,99974
5:5:5,0,-1,100027,99973
5:3:2,0,-1,100028,99972
2:1:4,0,-1,100029,99971
1:4:2,0,-1,100030,99970
1:3:5,0,-1,100031,99969
5:6:1,1,1,100030,99970
3:3:4,0,-1,100031,99969
2:2:3,0,-1,100032,99968
5:6:3,1,1,100031,99969
2:4:4,0,-1,100032,99968
1:4:6,1,1,100031,99969
4:4:2,0,-1,100032,99968
1:3:6,1,1,100031,99969
3:6:3,1,1,100030,99970
